Method	k	dataset	nF	run	trainTime	testTime	MacroF1	microF1
KRI	5	20newsgroups	26747	1	162.963881	396.4937069	0.5804970496	0.6041386724
RI	5	20newsgroups	5000	2	1.437032938	0.0753839016	0.5662789379	0.5873526259
KRI	5	20newsgroups	5000	2	413.8149421	1240.150642	0.5771460532	0.5895303714
RI	5	20newsgroups	10000	2	1.433037996	0.06990814209	0.5797691061	0.5998042182
KRI	5	20newsgroups	10000	2	345.4605529	951.0545261	0.602699346	0.6187594554
RI	5	20newsgroups	26747	2	1.526381969	0.09816217422	0.59115028	0.6113870167
KRI	5	20newsgroups	26747	2	163.2769051	397.828934	0.5799705885	0.6032686782
RI	5	20newsgroups	5000	3	1.433537006	0.07520198822	0.5629038096	0.582164689
KRI	5	20newsgroups	5000	3	411.6988471	1239.282058	0.5754144319	0.5879996796
RI	5	20newsgroups	10000	3	1.540740013	0.07436013222	0.5791672965	0.5985557636
KRI	5	20newsgroups	10000	3	345.2524791	941.4618039	0.6030978513	0.6198319328
RI	5	20newsgroups	26747	3	1.63003087	0.0854549408	0.5901710298	0.6104161121
KRI	5	20newsgroups	26747	3	161.749408	394.7424839	0.5842875626	0.6087034384
RI	5	20newsgroups	5000	4	1.43119812	0.07371306419	0.5653895763	0.5844691535
KRI	5	20newsgroups	5000	4	417.7119839	1240.308158	0.5713183262	0.584251717
RI	5	20newsgroups	10000	4	1.445640087	0.08241701126	0.5770924374	0.5975282106
KRI	5	20newsgroups	10000	4	345.656137	947.1614318	0.6011096843	0.6176792787
RI	5	20newsgroups	26747	4	1.629654884	0.08774709702	0.5913773093	0.6108593264
KRI	5	20newsgroups	26747	4	165.3635969	397.2413111	0.5743261304	0.5992993802
RI	10	reuters21578	5000	0	9.838176966	0.2803769112	0.5548566722	0.8439988204
KRI	10	reuters21578	5000	0	3466.765934	5534.170364	0.5802552924	0.8416184971
RI	10	reuters21578	10000	0	10.3574841	0.3014860153	0.5597420379	0.8505510654
KRI	10	reuters21578	10000	0	4001.167365	6164.284776	0.5838213856	0.8567723343
RI	10	reuters21578	5000	1	10.06493092	0.2718961239	0.5566246187	0.8408789264
KRI	10	reuters21578	5000	1	3446.447311	5526.780405	0.5855736734	0.8439256377
RI	10	reuters21578	10000	1	10.361166	0.315928936	0.56113827	0.8502202643
KRI	10	reuters21578	10000	1	4018.540321	6152.262874	0.581420403	0.8569376616
RI	10	reuters21578	5000	2	9.865680933	0.270181179	0.5545662902	0.8459837878
KRI	10	reuters21578	5000	2	3456.220421	5517.380797	0.5805457426	0.8462867012
RI	10	reuters21578	10000	2	10.36651397	0.3278300762	0.5621727295	0.8519168862
KRI	10	reuters21578	10000	2	3998.524043	6138.087317	0.6078960462	0.857347876
RI	10	reuters21578	5000	3	9.96705699	0.2734029293	0.5585315916	0.8441826215
KRI	10	reuters21578	5000	3	3428.883675	5533.647186	0.5818736529	0.8466647416
RI	10	reuters21578	10000	3	10.37217402	0.2966189384	0.558570157	0.848164464
KRI	10	reuters21578	10000	3	4018.175294	6157.415807	0.5865475866	0.8555811277
RI	10	reuters21578	5000	4	9.959254026	0.2677180767	0.5537273743	0.8442225811
KRI	10	reuters21578	5000	4	3438.758504	5510.348249	0.5803075864	0.8457668535
RI	10	reuters21578	10000	4	10.36528182	0.2968370914	0.5576295634	0.8470033868
KRI	10	reuters21578	10000	4	3986.522008	6135.524849	0.5853453032	0.8545977011
RI	10	20newsgroups	5000	0	2.409343958	0.1278979778	0.5630048622	0.5830278101
KRI	10	20newsgroups	5000	0	765.7170269	2444.894744	0.5763434113	0.5888818095
RI	10	20newsgroups	10000	0	2.600347042	0.120980978	0.58551325	0.6052889324
KRI	10	20newsgroups	10000	0	906.7453771	2791.398941	0.6090572899	0.6257492613
RI	10	20newsgroups	5000	1	2.310302973	0.1060740948	0.5643640618	0.5828039724
KRI	10	20newsgroups	5000	1	762.643733	2448.191278	0.577059236	0.5892771661
RI	10	20newsgroups	10000	1	2.518327951	0.1197090149	0.5832248633	0.6034436613
KRI	10	20newsgroups	10000	1	893.7205551	2785.952349	0.6071588802	0.6262558041
RI	10	20newsgroups	5000	2	2.325958014	0.1106519699	0.5655044776	0.5846264239
KRI	10	20newsgroups	5000	2	763.533978	2445.177436	0.5786146298	0.5910222436
RI	10	20newsgroups	10000	2	2.525183916	0.1416299343	0.5816556651	0.6025275899
KRI	10	20newsgroups	10000	2	900.477052	2788.785515	0.6074841214	0.6236016486
RI	10	20newsgroups	5000	3	2.434891939	0.1173789501	0.5698254954	0.5883928571
KRI	10	20newsgroups	5000	3	771.8032241	2450.111366	0.5800750572	0.592195746
RI	10	20newsgroups	10000	3	2.6330688	0.1211240292	0.5771910294	0.5980374665
KRI	10	20newsgroups	10000	3	901.2284679	2787.37819	0.6014819747	0.6186747495
RI	10	20newsgroups	5000	4	2.335635185	0.1235048771	0.5691424232	0.5867383513
KRI	10	20newsgroups	5000	4	766.225899	2445.233021	0.5816496884	0.5928525846
RI	10	20newsgroups	10000	4	2.626415014	0.1357297897	0.5777727329	0.5961092272
KRI	10	20newsgroups	10000	4	897.9817369	2782.959391	0.6048377046	0.6195880622
RI	2	reuters21578	2500	0	1.607230902	0.08923006058	0.541176846	0.8281481481
KRI	2	reuters21578	2500	0	498.5845509	705.1524231	0.5595121053	0.8208976764
RI	2	reuters21578	6000	0	1.631412029	0.08206796646	0.5481577952	0.8446730345
KRI	2	reuters21578	6000	0	234.839541	323.540592	0.5759074248	0.8450825556
RI	2	reuters21578	7000	0	1.736990929	0.05921602249	0.5548444854	0.8489568028
KRI	2	reuters21578	7000	0	211.9781849	287.71278	0.5864761593	0.853742472
RI	2	reuters21578	8000	0	1.74307394	0.06399297714	0.5569563855	0.846391298
KRI	2	reuters21578	8000	0	188.6374011	262.3999679	0.591776166	0.8514252807
RI	2	reuters21578	9000	0	1.751003027	0.06377792358	0.550852794	0.8454973514
KRI	2	reuters21578	9000	0	172.8168671	240.1787391	0.5753778992	0.8504916137
RI	2	reuters21578	15000	0	1.760117054	0.06393909454	0.5639152347	0.8521662763
KRI	2	reuters21578	15000	0	124.418478	182.2001431	0.5785887696	0.8610951009
RI	2	reuters21578	2500	1	1.650653124	0.05595302582	0.5362387165	0.831138079
KRI	2	reuters21578	2500	1	489.6165569	694.41572	0.5699152564	0.8288133161
RI	2	reuters21578	6000	1	1.639773846	0.05740904808	0.5574075346	0.8454973514
KRI	2	reuters21578	6000	1	239.4554012	323.3251488	0.5843612207	0.846776525
RI	2	reuters21578	7000	1	1.648393869	0.06438612938	0.5529788732	0.8453274467
