Method	k	dataset	nF	run	trainTime	testTime	MacroF1	microF1
KRIch	5	reuters21578	15000	3	269.8508658	7.671743155	0.5645892429	0.8542451463
KRIch	5	reuters21578	2500	4	46.54947209	1.309302092	0.5772362541	0.8391909339
KRIch	5	reuters21578	5000	4	92.26203799	2.606416941	0.5777637873	0.8481524249
KRIch	5	reuters21578	6000	4	110.7885742	3.13309288	0.5699951487	0.8506343714
KRIch	5	reuters21578	7000	4	128.6315641	3.644810915	0.5654255888	0.8477186864
KRIch	5	reuters21578	8000	4	146.4695351	4.147852898	0.5723753905	0.8518464881
KRIch	5	reuters21578	9000	4	164.7186902	4.661835909	0.5655629195	0.8537079954
KRIch	5	reuters21578	10000	4	182.3437459	5.142812014	0.5689040736	0.8512731481
KRIch	5	reuters21578	15000	4	269.7431681	7.675239801	0.5643245333	0.8506314414
KRIch	5	20newsgroups	2500	0	12.26530194	0.4975869656	0.5108012706	0.5191718365
KRIch	5	20newsgroups	5000	0	21.29941297	0.9936408997	0.5770790602	0.5906600147
KRIch	5	20newsgroups	6000	0	25.93654299	1.179646015	0.582857707	0.5970223738
KRIch	5	20newsgroups	7000	0	29.62878919	1.383997917	0.5925118528	0.6075928103
KRIch	5	20newsgroups	8000	0	33.06696105	1.581956863	0.5957390101	0.6102352247
KRIch	5	20newsgroups	9000	0	37.17540884	1.778878212	0.60253831	0.6181418548
KRIch	5	20newsgroups	10000	0	41.20081496	1.970730066	0.5956483277	0.6113284572
KRIch	5	20newsgroups	15000	0	60.48170495	2.927067995	0.6006412201	0.6175329713
KRIch	5	20newsgroups	2500	1	12.09536004	0.5023050308	0.5123140369	0.5201044386
KRIch	5	20newsgroups	5000	1	21.43444991	0.9907951355	0.5735821893	0.5882159856
KRIch	5	20newsgroups	6000	1	25.34148717	1.186197996	0.58414315	0.5964737192
KRIch	5	20newsgroups	7000	1	29.05210185	1.378317118	0.5863215214	0.6006688963
KRIch	5	20newsgroups	8000	1	33.59393287	1.653073072	0.6029090037	0.6174541786
KRIch	5	20newsgroups	9000	1	36.89032793	1.76800704	0.6004340218	0.6162299239
KRIch	5	20newsgroups	10000	1	40.7097311	1.951683044	0.595765533	0.6127108536
KRIch	5	20newsgroups	15000	1	60.20228314	2.909859896	0.5958453185	0.6115301257
KRIch	5	20newsgroups	2500	2	12.59910083	0.5124909878	0.5161609124	0.5249316688
KRIch	5	20newsgroups	5000	2	22.03718305	0.992762804	0.571810737	0.5848381324
KRIch	5	20newsgroups	6000	2	25.3441329	1.190616131	0.587109445	0.6004958678
KRIch	5	20newsgroups	7000	2	29.66375089	1.385638952	0.594522507	0.6093514329
KRIch	5	20newsgroups	8000	2	33.07983088	1.581322193	0.5910524397	0.6053542775
KRIch	5	20newsgroups	9000	2	36.9029181	1.770452023	0.5972594252	0.6127392851
KRIch	5	20newsgroups	10000	2	40.81361914	1.963917971	0.5969106146	0.6122275926
KRIch	5	20newsgroups	15000	2	60.09426093	2.918981075	0.6002948005	0.617467023
KRIch	5	20newsgroups	2500	3	12.31174207	0.5011589527	0.5110550977	0.5200959808
KRIch	5	20newsgroups	5000	3	21.73675394	0.988850832	0.572447634	0.5860320576
KRIch	5	20newsgroups	6000	3	26.45298505	1.189779997	0.5810849	0.5949241925
KRIch	5	20newsgroups	7000	3	29.1772511	1.374310017	0.5900696629	0.605245573
KRIch	5	20newsgroups	8000	3	33.07609391	1.567881107	0.597361895	0.6124989486
KRIch	5	20newsgroups	9000	3	36.79318595	1.756208897	0.5980537578	0.6139951042
KRIch	5	20newsgroups	10000	3	41.22016501	1.958909035	0.5922351372	0.608304322
KRIch	5	20newsgroups	15000	3	60.588938	2.998222113	0.5963042234	0.6141215107
KRIch	5	20newsgroups	2500	4	12.59993887	0.4983899593	0.5094461697	0.5190782583
KRIch	5	20newsgroups	5000	4	21.63996792	0.9905230999	0.5732458555	0.5865227347
KRIch	5	20newsgroups	6000	4	25.34919214	1.185348034	0.5875201744	0.6018839861
KRIch	5	20newsgroups	7000	4	29.08222318	1.386528969	0.5917351608	0.6051709758
KRIch	5	20newsgroups	8000	4	33.19211507	1.655446053	0.5958616476	0.6124570375
KRIch	5	20newsgroups	9000	4	37.11040401	1.771253109	0.5936910875	0.607899644
KRIch	5	20newsgroups	10000	4	41.73521709	1.948026896	0.5990582478	0.614755495
KRIch	5	20newsgroups	15000	4	59.98790002	2.918713093	0.6008140281	0.6190270457
KRIch	10	reuters21578	2500	0	46.57521605	1.315982103	0.5882447713	0.830096389
KRIch	10	reuters21578	5000	0	92.46817803	2.614855051	0.5771886041	0.8467090069
KRIch	10	reuters21578	6000	0	110.8144782	3.128633976	0.580609801	0.8488456512
KRIch	10	reuters21578	7000	0	129.1521771	3.638249874	0.5740473064	0.8520231214
KRIch	10	reuters21578	8000	0	147.781122	4.131053925	0.5713538581	0.852416195
KRIch	10	reuters21578	9000	0	166.0171571	4.658638	0.5707725266	0.8572669369
KRIch	10	reuters21578	10000	0	184.262192	5.205420971	0.5742580582	0.8515511743
KRIch	10	reuters21578	15000	0	276.161474	7.884612083	0.5718571937	0.8511133751
KRIch	10	reuters21578	2500	1	46.56304598	1.332927942	0.5730537095	0.8349124318
KRIch	10	reuters21578	5000	1	92.3608861	2.625	0.5937088892	0.8461315561
KRIch	10	reuters21578	6000	1	111.099638	3.146781921	0.5739361309	0.8434921095
KRIch	10	reuters21578	7000	1	129.843936	3.630771875	0.5740021609	0.8513102649
KRIch	10	reuters21578	8000	1	147.477592	4.167930126	0.5723416955	0.8494779582
KRIch	10	reuters21578	9000	1	166.014303	4.703665972	0.5697309294	0.851792713
KRIch	10	reuters21578	10000	1	184.05986	5.202174187	0.576745664	0.8571015331
KRIch	10	reuters21578	15000	1	275.770968	7.836863041	0.5757123923	0.854442344
KRIch	10	reuters21578	2500	2	46.66895795	1.310522079	0.5765422631	0.8330227892
KRIch	10	reuters21578	5000	2	92.25811219	2.609113932	0.579937239	0.8484848485
KRIch	10	reuters21578	6000	2	110.8079011	3.120133877	0.5722605464	0.8442444477
KRIch	10	reuters21578	7000	2	129.0446939	3.641742945	0.571700761	0.8489333914
KRIch	10	reuters21578	8000	2	147.417563	4.192945004	0.5743022641	0.8509217593
KRIch	10	reuters21578	9000	2	165.6238248	4.692232132	0.5768089452	0.8502471649
KRIch	10	reuters21578	10000	2	183.960294	5.201294184	0.5728493139	0.853701016
KRIch	10	reuters21578	15000	2	275.8833709	7.900585175	0.5663928614	0.8520675597
KRIch	10	reuters21578	2500	3	46.55696297	1.319149017	0.5724339101	0.8325674899
KRIch	10	reuters21578	5000	3	92.45850611	2.622979879	0.5789069697	0.8468781689
KRIch	10	reuters21578	6000	3	110.5082002	3.220113993	0.5749028531	0.8461538462
KRIch	10	reuters21578	7000	3	129.3408082	3.654191017	0.5669599497	0.8516483516
KRIch	10	reuters21578	8000	3	147.2753642	4.186443806	0.5703044873	0.8500508056
KRIch	10	reuters21578	9000	3	166.4232659	4.663575172	0.5784324075	0.8520881671
KRIch	10	reuters21578	10000	3	184.375495	5.16116786	0.5758526629	0.8508351489
KRIch	10	reuters21578	15000	3	275.771919	7.832026958	0.5539716875	0.8562281723
KRIch	10	reuters21578	2500	4	46.75695586	1.322158098	0.570277742	0.8302917086
KRIch	10	reuters21578	5000	4	92.558887	2.603508949	0.5772260799	0.8456977585
KRIch	10	reuters21578	6000	4	110.914573	3.135530949	0.5689128319	0.8470008693
KRIch	10	reuters21578	7000	4	129.2469389	3.66276288	0.5752857918	0.8516579407
KRIch	10	reuters21578	8000	4	147.5915201	4.175898075	0.5694984718	0.8492593668
KRIch	10	reuters21578	9000	4	166.0222061	4.688040018	0.5813466207	0.8516690856
KRIch	10	reuters21578	10000	4	184.2610869	5.208727121	0.570312503	0.8518950437
KRIch	10	reuters21578	15000	4	276.090044	7.923184156	0.5657862854	0.8529882216
KRIch	10	20newsgroups	2500	0	12.46645784	0.5076460838	0.5100916268	0.5174981385
KRIch	10	20newsgroups	5000	0	21.59544301	0.9978811741	0.5758079816	0.5891345443
KRIch	10	20newsgroups	6000	0	25.61585712	1.198993921	0.5845126192	0.5989056541
KRIch	10	20newsgroups	7000	0	29.44407606	1.399364948	0.5877101087	0.6011715481
KRIch	10	20newsgroups	8000	0	33.66592884	1.598951101	0.5960121428	0.6113780025
KRIch	10	20newsgroups	9000	0	37.88160801	1.786751986	0.5958350336	0.611016661
KRIch	10	20newsgroups	10000	0	41.70207214	1.987547874	0.5905748967	0.6078616083
KRIch	10	20newsgroups	15000	0	62.09705901	2.992987871	0.601837527	0.6196573802
KRIch	10	20newsgroups	2500	1	11.97637606	0.5016238689	0.5140295482	0.5231763203
KRIch	10	20newsgroups	5000	1	21.42891502	0.9991168976	0.5783856649	0.5902391091
KRIch	10	20newsgroups	6000	1	25.44148612	1.197710037	0.5870005705	0.6017463617
KRIch	10	20newsgroups	7000	1	30.36525202	1.396508932	0.5935101245	0.6082223897
KRIch	10	20newsgroups	8000	1	33.6911211	1.769563913	0.5956277955	0.6112182443
KRIch	10	20newsgroups	9000	1	37.79802704	1.793239117	0.5911928668	0.6080149749
KRIch	10	20newsgroups	10000	1	41.37828302	2.100249052	0.5974096537	0.6126754573
KRIch	10	20newsgroups	15000	1	61.92244482	3.066394091	0.5988105073	0.6175347222
KRIch	10	20newsgroups	2500	2	12.18771601	0.5044031143	0.5172495175	0.5253098402
KRIch	10	20newsgroups	5000	2	21.33845687	0.9999611378	0.5825276804	0.5952439323
KRIch	10	20newsgroups	6000	2	25.6572721	1.210095882	0.583474657	0.5964883082
KRIch	10	20newsgroups	7000	2	29.46254301	1.398593187	0.5900217595	0.605984199
KRIch	10	20newsgroups	8000	2	33.78387094	1.600631952	0.5958856217	0.6120740183
KRIch	10	20newsgroups	9000	2	37.29643512	1.798622847	0.5996407032	0.6167811996
KRIch	10	20newsgroups	10000	2	41.31372309	1.999527931	0.599591117	0.6150170648
KRIch	10	20newsgroups	15000	2	62.41351795	3.000991106	0.5976084835	0.6150642138
KRIch	10	20newsgroups	2500	3	12.00387192	0.5054512024	0.5211572881	0.5296966987
KRIch	10	20newsgroups	5000	3	21.43299603	1.000726938	0.5841911173	0.5976258698
KRIch	10	20newsgroups	6000	3	25.54980993	1.19588995	0.5882975618	0.6026626974
KRIch	10	20newsgroups	7000	3	29.56807494	1.407757044	0.5931988643	0.6094521121
KRIch	10	20newsgroups	8000	3	33.67881608	1.595491886	0.6009176901	0.6159536017
KRIch	10	20newsgroups	9000	3	37.41512299	1.785007	0.5957415258	0.6124670465
KRIch	10	20newsgroups	10000	3	42.21522093	1.986782074	0.5957613458	0.6122901219
KRIch	10	20newsgroups	15000	3	61.89361095	2.997875929	0.6047198002	0.6226252159
KRIch	10	20newsgroups	2500	4	12.19587803	0.5023860931	0.5122719013	0.5209247008
KRIch	10	20newsgroups	5000	4	22.14841294	0.9984190464	0.5748172607	0.5890534239
KRIch	10	20newsgroups	6000	4	25.85279989	1.198239088	0.5866881434	0.6002649445
KRIch	10	20newsgroups	7000	4	30.87048006	1.399919033	0.5908770944	0.6064472801
KRIch	10	20newsgroups	8000	4	33.39450407	1.595637083	0.5983571403	0.6139112903
KRIch	10	20newsgroups	9000	4	37.31163287	1.792077065	0.6004681983	0.616360714
KRIch	10	20newsgroups	10000	4	41.3125	1.988111019	0.598437192	0.6149386085
KRIch	10	20newsgroups	15000	4	63.8964138	2.983016014	0.5980005035	0.6154647227
